,R-squared,MSE,MAPE
Degree1,0.6149103300116728,3.866031703260423e-08,0.05388228983888833
Degree2,0.6986779818423505,3.025062903201733e-08,0.021817124586823278
Degree3,0.7032983612303023,2.97867751666188e-08,0.013980090523391627
Degree4,0.7045724831736973,2.9658862209952535e-08,0.011201967940899922
logarithmic,0.4546478193666217,5.47495553395331e-08,0.08733289949613342
exponential,0.7043686352640928,2.9679327118325648e-08,0.01162989960468227
