CATEGORY,INDEX,NORAD_CAT_ID_1,OBJECT_NAME_1,SHAPE_1,OBJECT_CLASS_1,NORAD_CAT_ID_2,OBJECT_NAME_2,SHAPE_2,OBJECT_CLASS_2,TCA,TCA_RANGE,TCA_RELATIVE_SPEED,DILUTION,RADIUS_1,RADIUS_2,HBR,PC_CELESTRAK,PC_SPACEMAP,ERROR(RATIO)
spacemap,133,56917,STARLINK-5971 [+],,Unknown,57181,OBJECT R [+],,Unknown,2023-09-26 04:11:03.449,0.22591118954174516,9.594,0.066,0.001,0.001,0.002,6.939e-05,8.648886997513031e-05,1.2464169185059852
Celestrak,152,56996,AAC-AIS-SAT2 [+],,Unknown,34751,COSMOS 2251 DEB [-],Unknown,Unknown,2023-10-01 03:50:05.754,0.241,14.949,0.167,0.001,0.0003,0.0013,2.59e-05,3.210951799969225e-05,0.0
spacemap,152,56996,AAC-AIS-SAT2 [+],,Unknown,34751,COSMOS 2251 DEB [-],Unknown,Unknown,2023-10-01 03:50:05.754,0.24100739502499186,14.949,0.167,0.001,0.0003,0.0013,2.59e-05,3.210951799969225e-05,1.2397497297178477
Celestrak,156,56793,STARLINK-6052 [+],,Unknown,15331,COSMOS 1602 [?],Unknown,Unknown,2023-10-01 02:13:07.359,0.245,14.524,0.132,0.001,0.0015,0.0025,9.775e-05,0.00011497574717374315,0.0
spacemap,156,56793,STARLINK-6052 [+],,Unknown,15331,COSMOS 1602 [?],Unknown,Unknown,2023-10-01 02:13:07.359,0.24491553718002032,14.524,0.132,0.001,0.0015,0.0025,9.775e-05,0.00011497574717374315,1.1762224774807484
Celestrak,179,57074,STARLINK-5773 [+],,Unknown,23606,CERISE [?],Unknown,Unknown,2023-09-28 12:05:04.887,0.261,11.704,0.09,0.001,0.0015,0.0025,2.33e-05,0.0001008838685316182,0.0
spacemap,179,57074,STARLINK-5773 [+],,Unknown,23606,CERISE [?],Unknown,Unknown,2023-09-28 12:05:04.887,0.2614645133972548,11.704,0.09,0.001,0.0015,0.0025,2.33e-05,0.0001008838685316182,4.329779765305502
Celestrak,180,57451,STARLINK-30216 [+],,Unknown,36159,FENGYUN 1C DEB [-],Unknown,Unknown,2023-09-30 18:19:20.456,0.261,12.053,0.093,0.001,0.0003,0.0013,4.283e-05,2.7342935778086117e-05,0.0
spacemap,180,57451,STARLINK-30216 [+],,Unknown,36159,FENGYUN 1C DEB [-],Unknown,Unknown,2023-09-30 18:19:20.456,0.2611716888719337,12.053,0.093,0.001,0.0003,0.0013,4.283e-05,2.7342935778086117e-05,0.6384061587225336
Celestrak,198,57422,OBJECT B [+],,Unknown,50535,COSMOS 1408 DEB [-],Unknown,Unknown,2023-09-24 13:27:24.684,0.271,15.249,0.192,0.001,0.0003,0.0013,2.003e-05,2.5375196239792408e-05,0.0
spacemap,198,57422,OBJECT B [+],,Unknown,50535,COSMOS 1408 DEB [-],Unknown,Unknown,2023-09-24 13:27:24.684,0.2711093805176274,15.249,0.192,0.001,0.0003,0.0013,2.003e-05,2.5375196239792408e-05,1.2668595227055621
Celestrak,209,56693,STARLINK-30067 [+],,Unknown,25978,CLEMENTINE [-],Unknown,Unknown,2023-09-29 20:44:37.428,0.277,14.297,0.143,0.001,0.0015,0.0025,3.266e-05,8.968145005251317e-05,0.0
spacemap,209,56693,STARLINK-30067 [+],,Unknown,25978,CLEMENTINE [-],Unknown,Unknown,2023-09-29 20:44:37.428,0.2773164381668582,14.297,0.143,0.001,0.0015,0.0025,3.266e-05,8.968145005251317e-05,2.745910901791585
Celestrak,217,57618,STARLINK-30249 [+],,Unknown,52152,CZ-6A R/B [-],Unknown,Unknown,2023-09-30 06:55:49.734,0.281,14.021,0.135,0.001,0.0015,0.0025,2.743e-05,8.730313947729527e-05,0.0
spacemap,217,57618,STARLINK-30249 [+],,Unknown,52152,CZ-6A R/B [-],Unknown,Unknown,2023-09-30 06:55:49.734,0.2810688363693597,14.021,0.135,0.001,0.0015,0.0025,2.743e-05,8.730313947729527e-05,3.182761191297677
Celestrak,227,57144,STARLINK-5150 [+],,Unknown,10262,DELTA 1 DEB [-],Unknown,Unknown,2023-09-30 00:37:46.072,0.288,6.55,0.074,0.001,0.0003,0.0013,4.861e-05,2.2428426879099854e-05,0.0
