,R-squared,MSE,MAPE
Degree1,0.6149103300116727,3.866031703260424e-08,0.05388228982350413
Degree2,0.6986779818423505,3.025062903201733e-08,0.02181712467890273
Degree3,0.7032983612303023,2.97867751666188e-08,0.01398009068174892
Degree4,0.7045724831737024,2.965886220995201e-08,0.01120196285590063
logarithmic,0.4546478193666217,5.47495553395331e-08,0.08733289949613342
exponential,0.7043686352640928,2.9679327118325648e-08,0.01162989960468227
